,p_sgEGR1_3,p_sgEGR1_2,p_sgEGR1_4,p_sgCREB1_2,p_sgNR2C2_2,p_sgNR2C2_3,p_sgNR2C2_5,p_sgCREB1_4,p_sgCREB1_5,p_sgYY1_3,p_sgGABPA_1,p_sgIRF1_2,p_sgIRF1_3,p_sgELK1_7,p_sgELK1_6,p_sgELF1_2,p_sgYY1_10,p_sgELF1_1,p_sgETS1_5,p_sgETS1_3,p_sgGABPA_9,p_sgELF1_4,p_sgELF1_5,p_sgELK1_1,p_sgE2F4_6,p_sgE2F4_7
WRAP73,0,0.004499141,-0.002365931,0.006840766,0.004440994,0.000887819,0,0,0.000801252,0.004122566,0,0.002178687,-0.034127492,-0.00250541,0.002631856,-0.009069342,0,0,-0.012501942,-0.005748148,0,0,0,0,-0.004426938,-0.011177849
TP73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002759672,0,0,0,0,0,0,0,0,0
RP5-1092A11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-1092A11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP73-AS1,0,0,0.002958139,-0.002240294,0,-0.000186176,-0.011703372,0.003496241,0.005835141,0,-0.00161907,-0.004302237,0,0,0.002672366,0.000200897,-0.001203132,0,0,0,-0.014264278,0,0,0,0.017870251,0
SMIM1,0.008905144,-0.036793885,0,0.001315045,-0.014197421,-0.068338275,-0.03641817,-0.004606914,-0.00101178,-0.155023309,-0.01191672,-0.041059481,-0.038601327,0,-0.005455645,0,-0.230682127,0.042291369,-0.033983847,0.019840207,0.006732231,0.040210945,0,0.03561631,0.074375327,0.002865299
LRRC47,0,0.021700517,0,0,0,0,-0.005538152,-0.014832049,0.016734026,0,-0.014821551,0,0,0.058871858,0,-0.007860248,0.015473986,0,-0.00281251,0.00266976,0.036498158,-0.002516537,-0.011531754,0,0.041477769,0.015434111
RP1-286D6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP104,-0.010066742,-0.003164347,-0.006039751,-0.008377137,0,0,0.024387934,0.003697457,0.035834268,0.046303385,-0.031157125,0.046026194,0.010279763,-0.001579556,0,-0.011252499,0.047514071,0.003524245,0.018846823,-0.001718981,0,0,0,-0.018139237,-0.013054604,0
DFFB,0,0,0,0,0,-0.003878599,0,-0.004663419,-0.008542177,0,0,0,0.007416083,0,0,-0.002697226,0,-0.005629558,0.005986495,0,0.008845763,-0.00352852,0,0,0.008395466,0
C1orf174,-0.009659364,0.017309497,-0.006816457,-0.024855762,0,0,-0.010287843,0.028447328,-0.019548142,0,0,0.012711262,0.004589702,0.000727496,0.003551227,0,0.024900581,0.015783635,-0.012338465,0,0.018683873,0.009393115,-0.001339198,-0.023547092,0.009333859,0.000466962
LINC01134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPHP4,0.00304454,0,0,0,0,0,-0.003290692,0,0,0,0.00124549,0,0,-0.00403899,0.001522223,0.000434743,0,0.017126534,0,0,0,0,0,0,0,0.000915831
KCNAB2,0,0.006635451,0.009389865,-0.00397611,0,0,0,0,0,0,0.001201363,0,0,-0.010342647,-0.002398939,0,-0.016365546,0,0,0.001451181,0,0.003374066,0.00492817,-0.020214646,0,-0.037867789
CHD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL22,-0.007632951,-0.029502548,0,-0.001653107,0,0.034558386,-0.035001377,0.022634114,0,-0.05587098,-0.017426112,0.056093351,0.025429509,-0.012235221,0.042108703,-0.01642211,-0.099098003,0,0.032246891,0.009239262,0.000716612,-0.006214434,-0.002744219,0.000651519,0.018798286,0
RP1-120G22.11,0,0,0,0,0,0,0.004617517,0,0,0,0,0,0,0,0,0.002454168,0,0,-0.001993278,0,-0.005561626,0.004934343,0,0,-0.013775493,0
RNF207,0,-0.000394945,0,0.001816947,0,0,-0.008514164,-0.003681838,0,0,0,0,0,0,0,0.000193164,0,0.011745454,0.002412442,-0.017545523,0,0,-0.008012855,0,0,0
ICMT,-0.000891933,-0.010863293,0,0,0,0,0.037978397,0.052704844,-0.018920158,-0.013283941,0.015187421,0.013397338,0.039313494,-0.018238281,-0.004847575,0.033608366,-0.053757783,-0.005573484,-0.014379968,-0.006947232,0.009348763,0.011908861,0,0,-1.68E-05,0
LINC00337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT7,0,0.010534771,-0.009858056,0,0,0.00884372,-0.000463946,0,-0.006259564,0.030252494,0.034501069,-0.016162775,-0.027039116,0,0,-0.017598409,0.05902927,0.017396882,0.005989162,-0.011862964,0.015191169,0.0306593,-0.028347102,0,0,0.028424229
RP1-202O8.3,0,0.008827854,0,0,0,0,0,0,-0.000739169,0,0,0,0,0,0.011821512,0,0,0,0,0,0,0,0,0,0,0
HES2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,0,0,0,0,0,0,0,0,0,0,0.001611595,0,0,0,0,0,0,0,0,0,0,0.004103065,0,0,0,0.002860663
RP1-202O8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOL9,-0.005184614,-0.015178553,0,-0.008531771,-0.027576017,-0.00968391,0.022459495,0.014775103,-0.030617018,0.019038272,0.010456388,0,-0.017036127,-0.023793533,0,0.011486279,0.048621178,0.02630915,0,-4.29E-05,0.026108661,0,0.008950747,0.00215692,0,-0.030170947
TAS1R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB48,0,0.006656803,0,0,0,0,0.012511761,0,0,0,0.01722525,0.01209803,0.008349067,0,0,0,0,0,-0.00149641,-0.001224024,0,-0.003368721,0.010097612,0,-0.011330008,0
KLHL21,0.008841889,0,0,0,0,0,0,0,0,0.020965407,-0.023147654,-0.002705607,-0.009828098,-0.005541109,0,-0.002699244,0.003910062,0.021462094,0,0,0,0,0.006172495,0,0,0
PHF13,0,-0.00709371,0.001134025,0.007812023,0,-0.01153946,0,0,-0.017298811,0.009907351,-0.014656572,0,0,0,0.000404418,0,0.001276711,0.006885078,-0.008186847,0,0.003568673,-0.019300689,-0.01781807,0,0,-0.000978284
